lemma,timestamp
murderer,2023-08-29T09:26:26
accuse,2023-08-29T09:27:04
satisfied,2023-08-29T09:27:04
broker,2023-08-30T09:27:47
refute,2023-08-30T09:27:47
perpetrate,2023-08-30T09:27:47
liar,2023-08-31T14:57:31
proceed,2023-08-31T21:07:54
pleading,2023-09-21T08:46:55
tenir,2023-09-21T08:46:55
dignement,2023-09-21T08:46:55
blacken,2023-09-21T08:46:55
capital,2023-09-21T08:46:55
prisoner,2023-09-21T08:46:55
unpublished,2023-09-21T08:46:55
accustom,2023-09-21T08:46:55
resolve,2023-09-21T08:46:55
resemble,2023-09-21T08:46:55
poet,2023-09-21T08:46:55
novelist,2023-09-21T08:46:55
poem,2023-09-21T08:46:55
employ,2023-09-21T08:46:55
remark,2023-09-21T08:46:56
utterly,2023-09-21T08:46:56
generally,2023-09-21T08:46:56
failure,2023-09-21T08:46:56
attribute,2023-09-21T08:46:56
exception,2023-09-21T08:46:56
origin,2023-09-21T08:48:26
inspire,2023-09-21T08:48:27
initial,2023-09-21T08:48:27
education,2023-09-21T08:48:27
vegetable,2023-09-21T08:48:27
generous,2023-09-21T08:48:27
colour,2023-09-21T08:48:27
religion,2023-09-21T08:48:27
marriage,2023-09-21T08:48:27
fashionable,2023-09-21T08:48:27
shirt,2023-09-21T08:48:27
household,2023-09-21T08:48:27
bride,2023-09-21T08:48:27
making,2023-09-21T08:48:27
profession,2023-09-21T08:48:27
turning,2023-09-21T08:48:27
motto,2023-09-21T08:48:27
objection,2023-09-21T08:48:27
theatre,2023-09-21T08:48:28
bankrupt,2023-09-21T08:48:28
